Statistical profiling result from isolate-0x25c2df0-v8.log, (4059 ticks, 199 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename module.js:514:35
      1    0.0%    0.0%  LazyCompile: ~Module._load module.js:448:24
      1    0.0%    0.0%  LazyCompile: ~ClientRequest _http_client.js:79:23
      1    0.0%    0.0%  LazyCompile: ~Caseless.get /home/gofrendi/Projects/chimera-framework/node_modules/caseless/index.js:27:35
      1    0.0%    0.0%  LazyCompile: ~Buffer.concat buffer.js:425:25
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:889:31
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:1074:41
      1    0.0%    0.0%  LazyCompile: ~$getMaxListeners events.js:89:26
      1    0.0%    0.0%  LazyCompile: *splitCommandStringByShortArrow /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:220:43
      1    0.0%    0.0%  LazyCompile: *removeListener events.js:355:28
      1    0.0%    0.0%  LazyCompile: *normalizeStringPosix path.js:101:30
      1    0.0%    0.0%  LazyCompile: *done /home/gofrendi/Projects/chimera-framework/node_modules/neo-async/async.js:6903:18
      1    0.0%    0.0%  LazyCompile: *_extend util.js:981:17
      1    0.0%    0.0%  LazyCompile: *_addHeaderLines _http_incoming.js:119:25
      1    0.0%    0.0%  LazyCompile: *SpreadIterable native spread.js:17:24
      1    0.0%    0.0%  LazyCompile: *ReadableState _stream_readable.js:58:23
      1    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:365:35
      1    0.0%    0.0%  LazyCompile: *ClientRequest _http_client.js:79:23
      1    0.0%    0.0%  LazyCompile: *Caseless.has /home/gofrendi/Projects/chimera-framework/node_modules/caseless/index.js:18:35
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {2}
      1    0.0%    0.0%  Builtin: StringToLowerCaseIntl
      1    0.0%    0.0%  Builtin: StringPrototypeIndexOf
      1    0.0%    0.0%  Builtin: StringCharCodeAt
      1    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.0%  Builtin: ObjectCreate
      1    0.0%    0.0%  Builtin: ObjectAssign
      1    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
      1    0.0%    0.0%  Builtin: JSConstructStubApi
      1    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.0%    0.0%  Builtin: HandleApiCall
      1    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: FastFunctionPrototypeBind
      1    0.0%    0.0%  Builtin: FastArrayPush
      1    0.0%    0.0%  Builtin: CallWithSpread {1}
      1    0.0%    0.0%  Builtin: CallWithArrayLike
      1    0.0%    0.0%  Builtin: CallVarargs
      1    0.0%    0.0%  Builtin: ArrayConcat
      1    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name
    867   21.4%   28.5%  v8::internal::Isolate::IsAnyInitialArrayPrototype(v8::internal::Handle<v8::internal::JSArray>)
    190    4.7%    6.2%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
    159    3.9%    5.2%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
     82    2.0%    2.7%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::HeapObject*, int, int, v8::internal::IncrementalMarkingMarkingVisitor*)
     40    1.0%    1.3%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
     30    0.7%    1.0%  v8::internal::Accessors::ErrorStackGetter(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
     23    0.6%    0.8%  node::TCPWrap::Connect(v8::FunctionCallbackInfo<v8::Value> const&)
     19    0.5%    0.6%  cfree
     17    0.4%    0.6%  void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)4>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     17    0.4%    0.6%  v8::internal::HeapObject::Size() const
     16    0.4%    0.5%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
     15    0.4%    0.5%  bool v8::internal::MemoryChunk::IsEvacuationCandidate<(v8::internal::AccessMode)0>()
     13    0.3%    0.4%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
     13    0.3%    0.4%  bool v8::internal::MarkBit::Set<(v8::internal::AccessMode)1>()
     12    0.3%    0.4%  node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
     12    0.3%    0.4%  __libc_malloc
      9    0.2%    0.3%  v8::internal::StackFrame::GetCallerState(v8::internal::StackFrame::State*) const
      9    0.2%    0.3%  v8::internal::FixedArray::set(int, v8::internal::Object*)
      8    0.2%    0.3%  v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*)
